split,row_index,source_index,label,clean_exit,clean_blackbox_pred,clean_blackbox_conf,clean_observed_cost,clean_matmul_proxy,clean_final_pred,clean_final_conf
attack_pool,0,723,2,2,2,0.7967129945755005,0.2655365765094757,4629216.0,2,0.9861195087432861
attack_pool,1,923,3,3,3,0.867367684841156,0.42099320888519287,7339360.0,3,0.9542998671531677
attack_pool,2,4186,2,2,2,0.7343565225601196,0.2655365765094757,4629216.0,2,0.9535899758338928
attack_pool,3,6644,9,2,9,0.783218502998352,0.2655365765094757,4629216.0,9,0.9932644367218018
attack_pool,4,913,5,1,5,0.5100415945053101,0.11009829491376877,1919392.0,5,0.9946451187133789
attack_pool,5,848,9,2,9,0.8435333967208862,0.2655365765094757,4629216.0,9,0.9996768236160278
attack_pool,6,6498,5,2,5,0.7667242884635925,0.2655365765094757,4629216.0,5,0.9671751260757446
attack_pool,7,7865,9,2,9,0.8128222823143005,0.2655365765094757,4629216.0,9,0.9987187385559082
attack_pool,8,789,7,2,7,0.9854810833930969,0.2655365765094757,4629216.0,7,0.9984598159790039
attack_pool,9,8078,9,2,9,0.807919979095459,0.2655365765094757,4629216.0,9,0.9997889399528503
attack_pool,10,8651,6,3,6,0.9070990681648254,0.42099320888519287,7339360.0,6,0.8958501219749451
attack_pool,11,8494,8,2,8,0.7541669607162476,0.2655365765094757,4629216.0,8,0.9988343119621277
attack_pool,12,329,3,3,3,0.8334872126579285,0.42099320888519287,7339360.0,3,0.9015896320343018
attack_pool,13,2202,4,4,4,0.8802521824836731,0.8095980882644653,14114080.0,4,0.8454769849777222
attack_pool,14,7145,9,3,9,0.9906917214393616,0.42099320888519287,7339360.0,9,0.9976614713668823
attack_pool,15,7937,5,2,5,0.9186326265335083,0.2655365765094757,4629216.0,5,0.8226335048675537
attack_pool,16,1,2,2,2,0.8169867992401123,0.2655365765094757,4629216.0,2,0.9866015315055847
attack_pool,17,5430,8,2,8,0.941543698310852,0.2655365765094757,4629216.0,8,0.9991764426231384
